sec,user,sys,idle
0,3.19,9.57,87.23
1,12.60,12.60,74.78
2,5.45,10.90,83.63
3,3.73,12.14,84.11
4,4.62,11.11,84.25
5,5.35,11.60,83.3
6,3.63,11.81,84.54
7,2.72,13.63,83.63
8,3.50,12.28,84.21
9,4.62,12.96,82.40
10,3.73,13.8,83.17
11,4.50,12.61,82.88
12,4.58,12.84,82.56
13,9.48,12.93,77.58
14,7.27,10.90,81.81
15,5.55,11.11,83.33
16,3.66,11.92,84.40
17,12.6,12.6,75.86
18,6.42,11.0,82.56
19,5.60,13.8,81.30
20,3.66,13.76,82.56
21,5.40,10.81,83.78
22,3.73,11.21,85.4
23,2.77,12.3,85.18
24,3.66,11.92,84.40
25,4.76,9.52,85.71
26,3.66,10.9,86.23
27,4.71,16.3,79.24
28,3.84,11.53,84.61
29,4.67,12.14,83.17
