sec,user,sys,idle
0,4.76,11.42,83.80
1,5.45,14.54,80.0
2,2.80,13.8,84.11
3,5.66,10.37,83.96
4,4.46,12.50,83.3
5,4.58,11.92,83.48
6,3.63,13.63,82.72
7,3.77,11.32,84.90
8,5.40,13.51,81.8
9,3.73,11.21,85.4
10,3.77,11.32,84.90
11,4.62,11.11,84.25
12,4.62,12.3,83.33
13,9.73,11.50,78.76
14,4.38,12.28,83.33
15,4.50,11.71,83.78
16,5.40,11.71,82.88
17,3.63,10.90,85.45
18,3.63,12.72,83.63
19,3.77,10.37,85.84
20,5.35,11.60,83.3
21,4.46,11.60,83.92
22,7.1,11.40,81.57
23,3.53,11.50,84.95
24,4.58,11.0,84.40
25,3.60,12.61,83.78
26,3.60,11.71,84.68
27,4.54,13.63,81.81
28,5.50,11.0,83.48
29,2.77,12.3,85.18
